long_pipe 1 {'seconds': {'median_paired_ratio': 0.0903003421988774, 'bootstrap_95_interval': [0.07598948543803516, 0.10828359045594618], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0043271311120727, 'bootstrap_95_interval': [0.9907478797224364, 1.257156720038816], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 0.01901565610856164, 'bootstrap_95_interval': [0.01616164199505989, 0.02200488675219888], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.7228381374722838, 'bootstrap_95_interval': [0.6223945710130877, 1.000971817298348], 'signal': 'inconclusive'}}
long_getline 1 {'seconds': {'median_paired_ratio': 0.02041707508807736, 'bootstrap_95_interval': [0.012440783933645073, 0.029978054860219417], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.6991838321026039, 'bootstrap_95_interval': [0.4600141542816702, 1.0053037608486017], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.017808301329801362, 'bootstrap_95_interval': [0.013425509464319965, 0.030436438821528262], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.848966137249026, 'bootstrap_95_interval': [0.8437125748502994, 1.0007079646017698], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 0.01621326105683649, 'bootstrap_95_interval': [0.014435743196569097, 0.03858144559838016], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9915552427867699, 'bootstrap_95_interval': [0.844471081810009, 1.0007079646017698], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.05805111856409176, 'bootstrap_95_interval': [0.05174136906714057, 0.07839693814056366], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.45454545454545453, 'bootstrap_95_interval': [0.3605555555555556, 0.5599547511312217], 'signal': 'faster'}}
csv_long 1 {'seconds': {'median_paired_ratio': 0.0672367499834392, 'bootstrap_95_interval': [0.05685286913939499, 0.07369249913887047], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.615288999378496, 'bootstrap_95_interval': [0.45313469894475483, 0.6868250539956804], 'signal': 'faster'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 1.0311078512722693, 'bootstrap_95_interval': [0.7888865848817647, 1.2006921676598379], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0034013605442176, 'bootstrap_95_interval': [1.0034013605442176, 1.0034013605442176], 'signal': 'slower'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 0.9455297405422932, 'bootstrap_95_interval': [0.9263786824026795, 1.166906933734353], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0034013605442176, 'bootstrap_95_interval': [1.0034013605442176, 1.0204081632653061], 'signal': 'slower'}}
regex_control 0 {'seconds': {'median_paired_ratio': 1.009037408807421, 'bootstrap_95_interval': [0.6807020362317047, 1.2280069527753594], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.006825938566553, 'bootstrap_95_interval': [0.9899328859060402, 1.006825938566553], 'signal': 'inconclusive'}}
regex_control 1 {'seconds': {'median_paired_ratio': 1.057983640874498, 'bootstrap_95_interval': [0.9127917779703247, 1.4076090313747462], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.006825938566553, 'bootstrap_95_interval': [1.006825938566553, 1.023890784982935], 'signal': 'slower'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 0.9895413898610185, 'bootstrap_95_interval': [0.903756649633674, 1.1428440127049249], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.05, 'bootstrap_95_interval': [0.966789667896679, 1.0901960784313725], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 0.9760681117011984, 'bootstrap_95_interval': [0.9070344135024914, 1.0985984901797867], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.041044776119403, 'bootstrap_95_interval': [0.9424460431654677, 1.0862745098039215], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 0.46615764094499784, 'bootstrap_95_interval': [0.41402099663283504, 0.487811577194967], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0063492063492063, 'bootstrap_95_interval': [0.9587301587301588, 1.0225806451612902], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 0.5103666542277737, 'bootstrap_95_interval': [0.4281851126173481, 0.5343935612304143], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0063492063492063, 'bootstrap_95_interval': [0.9612903225806452, 1.0380952380952382], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 0.9763583926381236, 'bootstrap_95_interval': [0.9222023770570543, 1.0541134893003479], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0075757575757576, 'bootstrap_95_interval': [0.9602888086642599, 1.0303030303030303], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9593556010342309, 'bootstrap_95_interval': [0.8529822628173199, 1.057610103133191], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0076923076923077, 'bootstrap_95_interval': [0.9961089494163424, 1.0354330708661417], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 0.9547743868619667, 'bootstrap_95_interval': [0.9234064415562717, 0.9995099739646356], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0033557046979866, 'bootstrap_95_interval': [0.9977678571428571, 1.0281531531531531], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 1.0345974492907115, 'bootstrap_95_interval': [0.9785795608001205, 1.1843087655033857], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9191919191919192, 1.008578431372549], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 0.8967846593123715, 'bootstrap_95_interval': [0.7810955162472992, 1.0553327817282696], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0234375, 'bootstrap_95_interval': [1.01953125, 1.0274509803921568], 'signal': 'slower'}}
output_format 1 {'seconds': {'median_paired_ratio': 1.0455548029020039, 'bootstrap_95_interval': [0.8546943560686912, 1.197784082070525], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0235294117647058, 'bootstrap_95_interval': [1.01953125, 1.0274509803921568], 'signal': 'slower'}}
