long_pipe 0 {'seconds': {'median_paired_ratio': 0.9758992231824359, 'bootstrap_95_interval': [0.9365269712041552, 1.139772706763201], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0003399048266486, 'bootstrap_95_interval': [0.9993198435640197, 1.0008509189925119], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 1.0284430816018568, 'bootstrap_95_interval': [0.9262203625959784, 1.1390771539333255], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0005102908657935, 'bootstrap_95_interval': [0.9998299319727891, 1.0011912865895167], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 0.9858065915745617, 'bootstrap_95_interval': [0.9681212263064743, 1.1820502743157446], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0004117768169651], 'signal': 'inconclusive'}}
long_getline 1 {'seconds': {'median_paired_ratio': 1.0142161199802302, 'bootstrap_95_interval': [0.9343833619323685, 1.0664340972257005], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 1.0033415108438108, 'bootstrap_95_interval': [0.9687197343924151, 1.0351928091396392], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 1.0289379030805819, 'bootstrap_95_interval': [0.9242106670109668, 1.116967674814924], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.9779410443403659, 'bootstrap_95_interval': [0.9382509549715534, 1.0491619045075309], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.1937064740778953], 'signal': 'inconclusive'}}
csv_long 1 {'seconds': {'median_paired_ratio': 0.9766993171398558, 'bootstrap_95_interval': [0.8698905183546869, 1.012861711412201], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.000534188034188], 'signal': 'inconclusive'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 0.9832654568776618, 'bootstrap_95_interval': [0.966322216209482, 1.0249324475810742], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.981672394043528, 1.0], 'signal': 'inconclusive'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 1.0154339627911346, 'bootstrap_95_interval': [0.986085724295117, 1.0710469260625908], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0070011668611436], 'signal': 'inconclusive'}}
