volume_short_128m 0 {'seconds': {'median_paired_ratio': 0.9996350339395318, 'bootstrap_95_interval': [0.9985663601009291, 1.0014562561417883], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0031645569620253], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 0.9999718757472489, 'bootstrap_95_interval': [0.9997470620249304, 1.0029018575728854], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 1.0035112883001107, 'bootstrap_95_interval': [0.9946558121219979, 1.0118293915574885], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.999, 1.002004008016032], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 1.0010975118966867, 'bootstrap_95_interval': [0.996336723780986, 1.004212670555092], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0030090270812437], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 0.9958587296728123, 'bootstrap_95_interval': [0.9882665301544158, 1.0011568348161333], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 1.0034979393618366, 'bootstrap_95_interval': [1.002125694808715, 1.0075774531273842], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0010526315789474], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 0.9995322804479384, 'bootstrap_95_interval': [0.9850087441681774, 1.0068236035920022], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0003465003465004], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 0.997562495746146, 'bootstrap_95_interval': [0.9875675240789251, 1.019637937737415], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0003465003465004, 'bootstrap_95_interval': [0.9996536196744025, 1.0006934812760055], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 0.9887291479410959, 'bootstrap_95_interval': [0.9846276268041461, 1.0202393248339439], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0010526315789474], 'signal': 'inconclusive'}}
output_format 1 {'seconds': {'median_paired_ratio': 1.006176653223341, 'bootstrap_95_interval': [0.9807849920942255, 1.0164141700619025], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0021119324181627], 'signal': 'inconclusive'}}
