long_getline 0 {'seconds': {'median_paired_ratio': 0.017635460348512762, 'bootstrap_95_interval': [0.017257240195697347, 0.017813574095078753], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9960254372019078, 1.0039904229848364], 'signal': 'inconclusive'}}
long_getline 1 {'seconds': {'median_paired_ratio': 0.01781538063790205, 'bootstrap_95_interval': [0.01749742993747602, 0.01803844036297029], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9960254372019078, 1.000198767640628], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.020735360514584585, 'bootstrap_95_interval': [0.020490147326015076, 0.02083245493102578], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9998204667863555, 1.0005385996409335], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 0.020984691232779625, 'bootstrap_95_interval': [0.02082333838788002, 0.021062124524077814], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9999102414504981, 'bootstrap_95_interval': [0.9996409658019927, 1.0], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.06301339243875609, 'bootstrap_95_interval': [0.06274031647157448, 0.0631513748274651], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9987789987789988, 'bootstrap_95_interval': [0.9983726606997559, 0.9991859991859992], 'signal': 'faster'}}
csv_long 1 {'seconds': {'median_paired_ratio': 0.06320707718544383, 'bootstrap_95_interval': [0.06308460357352035, 0.06346740597840593], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9987789987789988, 'bootstrap_95_interval': [0.9983726606997559, 1.0], 'signal': 'inconclusive'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 0.977221901855673, 'bootstrap_95_interval': [0.9624413481262616, 1.007716525394231], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9981998199819982, 1.0027075812274369], 'signal': 'inconclusive'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 1.0107297831199462, 'bootstrap_95_interval': [0.9854973598734618, 1.0326938235297773], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
regex_control 0 {'seconds': {'median_paired_ratio': 0.9979821605393588, 'bootstrap_95_interval': [0.9813331474054894, 1.0185293554935282], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.000900900900901], 'signal': 'inconclusive'}}
regex_control 1 {'seconds': {'median_paired_ratio': 0.9962410561621532, 'bootstrap_95_interval': [0.9673911566796397, 1.0361678785284305], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.001806684733514], 'signal': 'inconclusive'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 0.9976421305697266, 'bootstrap_95_interval': [0.9961459590573982, 0.9994620106576245], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989462592202318, 1.0031645569620253], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 0.9969623887710674, 'bootstrap_95_interval': [0.9954664214887043, 0.9979335016407898], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9989484752891693, 'bootstrap_95_interval': [0.9968454258675079, 1.0], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 0.5485154561258618, 'bootstrap_95_interval': [0.5439591796070059, 0.5547557634799513], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.997, 1.0], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 0.5435900610648351, 'bootstrap_95_interval': [0.5376079721361915, 0.5461214765963254], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.001001001001001], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 0.9650529384881519, 'bootstrap_95_interval': [0.9507745628553729, 0.9948654912435286], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989484752891693, 1.0], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9500203049093605, 'bootstrap_95_interval': [0.9488674321358314, 0.9612764008797889], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989473684210526, 1.0021074815595363], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 0.997039975604831, 'bootstrap_95_interval': [0.990969912564121, 1.006081607202472], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9982680983720125, 1.0006934812760055], 'signal': 'inconclusive'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 1.0061520050356216, 'bootstrap_95_interval': [0.9992031853960939, 1.0124675993878343], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0003466204506066, 'bootstrap_95_interval': [0.9989608590232075, 1.0010409437890353], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 1.0037411669544767, 'bootstrap_95_interval': [0.9929359305513747, 1.0143799859331042], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0010526315789474], 'signal': 'inconclusive'}}
output_format 1 {'seconds': {'median_paired_ratio': 1.0130408925548193, 'bootstrap_95_interval': [0.9959656077866093, 1.0225472843298349], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0], 'signal': 'inconclusive'}}
