long_pipe 0 {'seconds': {'median_paired_ratio': 1.0439098397859619, 'bootstrap_95_interval': [0.8628036851536977, 1.0894931758718882], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9988403556242752, 'bootstrap_95_interval': [0.8862068965517241, 1.0019440124416796], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 1.0256782874426926, 'bootstrap_95_interval': [0.9527632800069402, 1.1113402504774863], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0023337222870479, 'bootstrap_95_interval': [0.8, 1.122340425531915], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 0.8704329011682278, 'bootstrap_95_interval': [0.7839446939263087, 0.9974550403092135], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.5597796143250688, 'bootstrap_95_interval': [1.0, 1.6082554517133956], 'signal': 'inconclusive'}}
long_getline 1 {'seconds': {'median_paired_ratio': 0.8086945241615306, 'bootstrap_95_interval': [0.6494811836568567, 0.9855154810683611], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.6248175182481752, 1.0048661800486618], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.9823937631356525, 'bootstrap_95_interval': [0.9061835151521865, 1.1621953105459246], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9936530324400564, 1.0010611956137248], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 0.9329497744601201, 'bootstrap_95_interval': [0.8321670161486852, 1.109150880254346], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.00319375443577, 'bootstrap_95_interval': [0.9971781305114639, 1.1848828956706885], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.991797475147832, 'bootstrap_95_interval': [0.8236938688581597, 1.045770669300507], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.7101865136298422, 2.0508474576271185], 'signal': 'inconclusive'}}
csv_long 1 {'seconds': {'median_paired_ratio': 1.0222896711999325, 'bootstrap_95_interval': [0.8719196948908509, 1.190603239155089], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9369774919614148, 1.1890091590341383], 'signal': 'inconclusive'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 0.9905971053537417, 'bootstrap_95_interval': [0.9319241585842943, 1.0770786448135756], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 0.9864298615292684, 'bootstrap_95_interval': [0.9152108320855861, 1.0223267379486323], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
