long_getline 1 {'seconds': {'median_paired_ratio': 1.001784249315356, 'bootstrap_95_interval': [0.9941258675006234, 1.0175868269649206], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9988518943742825, 'bootstrap_95_interval': [0.993907083015994, 1.0013425393172228], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.9914886442204763, 'bootstrap_95_interval': [0.9541099177448074, 1.0120549363218454], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0001760408414753, 'bootstrap_95_interval': [0.9979812165364698, 1.0022003168456257], 'signal': 'inconclusive'}}
unterminated 1 {'seconds': {'median_paired_ratio': 1.000822745608179, 'bootstrap_95_interval': [0.9793718025174363, 1.0182759401614305], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0017576236927674, 'bootstrap_95_interval': [0.9985934065934066, 1.0031670625494853], 'signal': 'inconclusive'}}
csv_long 0 {'seconds': {'median_paired_ratio': 0.9999149392310972, 'bootstrap_95_interval': [0.9943982296594308, 1.015632114362915], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9940564635958395, 'bootstrap_95_interval': [0.9154109589041096, 1.0037299515106304], 'signal': 'inconclusive'}}
csv_long 1 {'seconds': {'median_paired_ratio': 1.0061200404226052, 'bootstrap_95_interval': [0.997182654010665, 1.0238420430537198], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9936638091688409, 'bootstrap_95_interval': [0.9184931506849315, 1.00037397157816], 'signal': 'inconclusive'}}
paragraph_control 0 {'seconds': {'median_paired_ratio': 0.9965423733581029, 'bootstrap_95_interval': [0.9737013056950334, 1.0672025759404287], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9886925795053003, 'bootstrap_95_interval': [0.9498941425546931, 1.026354319180088], 'signal': 'inconclusive'}}
paragraph_control 1 {'seconds': {'median_paired_ratio': 0.9683654052539246, 'bootstrap_95_interval': [0.9644869538371279, 1.0302812776745711], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0125, 'bootstrap_95_interval': [0.9817030260380014, 1.0290394638868205], 'signal': 'inconclusive'}}
regex_control 0 {'seconds': {'median_paired_ratio': 0.9682044686871604, 'bootstrap_95_interval': [0.9545478798035004, 1.009595432260226], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0007199424046076, 'bootstrap_95_interval': [0.9862418537291817, 1.0135617416131335], 'signal': 'inconclusive'}}
regex_control 1 {'seconds': {'median_paired_ratio': 0.9860229380893112, 'bootstrap_95_interval': [0.9565933234913332, 0.9921020881413877], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9949676491732566, 'bootstrap_95_interval': [0.9819364161849711, 1.0198237885462555], 'signal': 'inconclusive'}}
volume_short_128m 0 {'seconds': {'median_paired_ratio': 0.9946750563396258, 'bootstrap_95_interval': [0.9834163317233267, 1.0099790375247073], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.011111111111111, 'bootstrap_95_interval': [0.9824414715719063, 1.0287958115183247], 'signal': 'inconclusive'}}
volume_short_128m 1 {'seconds': {'median_paired_ratio': 0.9874416949151088, 'bootstrap_95_interval': [0.9701389942461033, 1.0046450359535715], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0017167381974248, 'bootstrap_95_interval': [0.9872231686541738, 1.0296684118673647], 'signal': 'inconclusive'}}
volume_64k_128m 0 {'seconds': {'median_paired_ratio': 0.9976855623555521, 'bootstrap_95_interval': [0.9927154572891168, 1.0075899821245276], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9901153212520593, 'bootstrap_95_interval': [0.9800159872102319, 1.006611570247934], 'signal': 'inconclusive'}}
volume_64k_128m 1 {'seconds': {'median_paired_ratio': 1.0013081613896575, 'bootstrap_95_interval': [0.9959130588028285, 1.0150468965695318], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9934906427990235, 'bootstrap_95_interval': [0.9735152487961477, 1.007328990228013], 'signal': 'inconclusive'}}
csv_mixed 0 {'seconds': {'median_paired_ratio': 0.9855587560908599, 'bootstrap_95_interval': [0.9714083943198069, 1.0275649638481663], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9780590717299578, 'bootstrap_95_interval': [0.9741451209341118, 1.007765314926661], 'signal': 'inconclusive'}}
csv_mixed 1 {'seconds': {'median_paired_ratio': 0.9904944122105639, 'bootstrap_95_interval': [0.9775753989235341, 1.0014124605535375], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0017346053772767, 'bootstrap_95_interval': [0.9748953974895398, 1.012058570198105], 'signal': 'inconclusive'}}
high_cardinality 0 {'seconds': {'median_paired_ratio': 0.976037225504285, 'bootstrap_95_interval': [0.9674110552489522, 0.9869392081338518], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.9948734380006409, 'bootstrap_95_interval': [0.9906692406692407, 0.9987146529562982], 'signal': 'faster'}}
high_cardinality 1 {'seconds': {'median_paired_ratio': 0.9979556890433706, 'bootstrap_95_interval': [0.9611527256289314, 1.0273684136115837], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9831424936386769, 1.0089887640449438], 'signal': 'inconclusive'}}
output_format 0 {'seconds': {'median_paired_ratio': 1.0427715923572896, 'bootstrap_95_interval': [0.9714859305476368, 1.18170180215959], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0140597539543057, 'bootstrap_95_interval': [0.9956063268892794, 1.0318866253321524], 'signal': 'inconclusive'}}
output_format 1 {'seconds': {'median_paired_ratio': 0.9917057114700211, 'bootstrap_95_interval': [0.9578399949842377, 1.0133499736354432], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.002601908065915, 'bootstrap_95_interval': [0.9889549702633815, 1.0087260034904013], 'signal': 'inconclusive'}}
